models_fitness	models_synergies_tp	models_synergies_fp	models_synergies_tn	models_synergies_fn	models_sensitivity	models_specificity	models_precision	models_fpr
topology.sif_run_13__G19_M3.gitsbe	0.6119403	1	4	132	16	0.0588235294117647	0.970588235294118	0.2	0.0294117647058824
topology.sif_run_56__G19_M0.gitsbe	0.6492537	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_184__G19_M0.gitsbe	0.619403	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_133__G19_M2.gitsbe	0.6567164	5	6	130	12	0.294117647058824	0.955882352941177	0.454545454545455	0.0441176470588235
topology.sif_run_190__G19_M0.gitsbe	0.6044776	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_398__G19_M2.gitsbe	0.64179105	1	8	128	16	0.0588235294117647	0.941176470588235	0.111111111111111	0.0588235294117647
topology.sif_run_41__G19_M3.gitsbe	0.63432837	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_182__G19_M2.gitsbe	0.64179105	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_263__G19_M1.gitsbe	0.6641791	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_448__G19_M5.gitsbe	0.6119403	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_453__G19_M4.gitsbe	0.6641791	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_225__G19_M6.gitsbe	0.6641791	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_56__G19_M1.gitsbe	0.6492537	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_138__G19_M2.gitsbe	0.64179105	1	4	132	16	0.0588235294117647	0.970588235294118	0.2	0.0294117647058824
topology.sif_run_417__G19_M6.gitsbe	0.6492537	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_79__G19_M0.gitsbe	0.6268657	2	2	134	15	0.117647058823529	0.985294117647059	0.5	0.0147058823529412
topology.sif_run_194__G19_M1.gitsbe	0.6641791	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_12__G19_M5.gitsbe	0.6119403	2	6	130	15	0.117647058823529	0.955882352941177	0.25	0.0441176470588235
topology.sif_run_76__G19_M3.gitsbe	0.6641791	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_234__G19_M17.gitsbe	0.6492537	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_489__G19_M0.gitsbe	0.64179105	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_407__G19_M1.gitsbe	0.619403	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_126__G19_M3.gitsbe	0.63432837	1	5	131	16	0.0588235294117647	0.963235294117647	0.166666666666667	0.0367647058823529
topology.sif_run_211__G19_M1.gitsbe	0.619403	1	0	136	16	0.0588235294117647	1	1	0
topology.sif_run_466__G19_M15.gitsbe	0.619403	0	6	130	17	0	0.955882352941177	0	0.0441176470588235
topology.sif_run_383__G19_M8.gitsbe	0.6567164	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_266__G19_M1.gitsbe	0.5970149	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_73__G19_M2.gitsbe	0.63432837	0	9	127	17	0	0.933823529411765	0	0.0661764705882353
topology.sif_run_496__G19_M0.gitsbe	0.6492537	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_284__G19_M3.gitsbe	0.5895522	1	7	129	16	0.0588235294117647	0.948529411764706	0.125	0.0514705882352941
topology.sif_run_347__G19_M1.gitsbe	0.6119403	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_89__G19_M1.gitsbe	0.64179105	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_368__G19_M1.gitsbe	0.6641791	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_37__G19_M5.gitsbe	0.63432837	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_451__G19_M2.gitsbe	0.64179105	0	6	130	17	0	0.955882352941177	0	0.0441176470588235
topology.sif_run_53__G19_M5.gitsbe	0.6119403	3	3	133	14	0.176470588235294	0.977941176470588	0.5	0.0220588235294118
topology.sif_run_163__G19_M1.gitsbe	0.63432837	3	8	128	14	0.176470588235294	0.941176470588235	0.272727272727273	0.0588235294117647
topology.sif_run_211__G19_M19.gitsbe	0.6268657	1	0	136	16	0.0588235294117647	1	1	0
topology.sif_run_2__G19_M0.gitsbe	0.5970149	1	1	135	16	0.0588235294117647	0.992647058823529	0.5	0.00735294117647059
topology.sif_run_225__G19_M5.gitsbe	0.6641791	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_176__G19_M8.gitsbe	0.5970149	3	7	129	14	0.176470588235294	0.948529411764706	0.3	0.0514705882352941
topology.sif_run_73__G19_M0.gitsbe	0.63432837	4	10	126	13	0.235294117647059	0.926470588235294	0.285714285714286	0.0735294117647059
topology.sif_run_7__G19_M6.gitsbe	0.64179105	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_201__G19_M4.gitsbe	0.6268657	2	5	131	15	0.117647058823529	0.963235294117647	0.285714285714286	0.0367647058823529
topology.sif_run_143__G19_M4.gitsbe	0.6268657	1	8	128	16	0.0588235294117647	0.941176470588235	0.111111111111111	0.0588235294117647
topology.sif_run_66__G19_M16.gitsbe	0.64179105	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_58__G19_M1.gitsbe	0.64179105	1	7	129	16	0.0588235294117647	0.948529411764706	0.125	0.0514705882352941
topology.sif_run_342__G19_M1.gitsbe	0.6641791	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_152__G19_M2.gitsbe	0.6492537	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
